review,score
"[29, 56, 8, 59, 143, 13, 64, 7, 271, 5, 15, 48, 15, 2, 150, 451, 3, 63, 114, 6, 1418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[19, 111, 89, 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[20, 13, 2, 732, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1419, 7, 166, 13, 733, 963, 92, 76, 964, 127, 1420, 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[2, 609, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 25, 7, 1421, 2, 271, 7, 82, 5, 7, 509, 57, 151, 7, 82, 452, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[49, 24, 25, 294, 1422, 79, 294, 1423, 734, 122, 965, 2, 510, 11, 610, 400, 11, 120, 43, 114, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[49, 24, 32, 511, 512, 24, 272, 25, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[735, 7, 138, 3, 736, 14, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[83, 6, 167, 11, 128, 4, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[4, 2, 75, 45, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[152, 9, 17, 182, 80, 135, 50, 2, 453, 74, 7, 2, 966, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[49, 2, 144, 44, 1424, 114, 6, 1425, 183, 1426, 3, 401, 7, 967, 1427, 737, 4, 1428, 75, 50, 2, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[17, 19, 45, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[2, 273, 8, 17, 1429, 37, 2, 98, 611, 8, 12, 17, 168, 38, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[231, 90, 13, 104, 43, 274, 65, 6, 513, 968, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 969, 403, 108, 12, 33, 1430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[29, 157, 29, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[69, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[5, 1431, 253, 28, 15, 6, 143, 22, 275, 24, 1432, 136, 175, 22, 1433, 46, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[3, 158, 23, 232, 35, 738, 4, 1434, 36, 1435, 30, 105, 12, 82, 5, 7, 739, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[3, 176, 10, 7, 77, 16, 14, 1436, 970, 4, 254, 276, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[2, 1437, 32, 2, 356, 1438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[3, 25, 454, 7, 971, 10, 129, 74, 612, 144, 455, 4, 22, 35, 357, 323, 295, 514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 176, 5, 13, 14, 1439, 4, 233, 27, 6, 218, 16, 2, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[20, 740, 741, 21, 742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 61, 743, 10, 21, 13, 613, 296, 115, 4, 70, 138, 22, 5, 35, 2, 58, 515, 21, 3, 61, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 159, 18, 123, 22, 2, 614, 615, 44, 324, 7, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[169, 1440, 255, 64, 234, 4, 3, 27, 7, 972, 71, 2, 1441, 4, 234, 23, 2, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[191, 18, 516, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[10, 8, 6, 358, 177, 21, 7, 77, 30, 2, 1442, 8, 1443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[10, 54, 8, 1444, 13, 169, 39, 64, 1445, 456, 32, 17, 1446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[5, 8, 973, 15, 6, 1447, 160, 38, 1448, 1449, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[3, 25, 144, 92, 256, 297, 15, 10, 1450, 4, 3, 457, 10, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[160, 166, 37, 51, 37, 1451, 166, 32, 616, 7, 161, 235, 24, 102, 971, 71, 11, 974, 1452, 617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[24, 325, 38, 458, 236, 1453, 7, 82, 7, 52, 21, 744, 50, 2, 41, 24, 94, 459, 23, 2, 21, 74, 199, 8, 975, 0, 0, 0, 0, 0, 0, 0]",0
"[5, 65, 326, 57, 17, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[153, 234, 41, 618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[2, 111, 8, 20, 4, 69, 192, 16, 2, 1454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[745, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[5, 65, 6, 20, 237, 619, 1455, 4, 2, 1456, 32, 72, 4, 257, 16, 20, 404, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 9, 12, 182, 114, 10, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[72, 68, 327, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 66, 255, 1457, 13, 405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[89, 178, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[5, 65, 36, 2, 746, 3, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[274, 15, 84, 151, 747, 8, 1458, 171, 10, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[85, 1459, 16, 328, 976, 2, 359, 238, 34, 748, 2, 298, 85, 144, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[10, 111, 460, 51, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[116, 16, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[12, 406, 130, 4, 191, 18, 459, 23, 39, 5, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[19, 749, 4, 119, 12, 161, 21, 95, 1460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[6, 1461, 620, 461, 977, 6, 978, 253, 6, 258, 621, 1462, 1463, 622, 11, 53, 6, 979, 1464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[10, 21, 8, 112, 517, 4, 3, 61, 102, 27, 104, 462, 251, 16, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 86, 10, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[155, 99, 5, 8, 192, 4, 463, 13, 2, 103, 3, 1465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[17, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[3, 91, 359, 10, 21, 253, 6, 1466, 4, 5, 9, 1467, 13, 980, 750, 4, 5, 131, 69, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[3, 25, 87, 17, 139, 16, 2, 751, 4, 25, 27, 59, 752, 50, 104, 43, 976, 14, 75, 45, 23, 84, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[2, 361, 13, 23, 4, 140, 32, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[981, 24, 70, 982, 1468, 35, 983, 623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
